wav_filename,wav_filesize,transcript
common_voice_tr_21324886.wav,167468,neden on yıldan uzun bir süre bunun olmasına izin verildi
common_voice_tr_21324887.wav,149804,sergi üç hafta süreyle açık kalacak
common_voice_tr_21324884.wav,121388,peki bu siyasi irade mevcut mu
common_voice_tr_21324893.wav,160556,kosova'da çocuklara yönelik televizyon programları nasıl geliştirilebilir
common_voice_tr_21324881.wav,122924,bu şüphelere ne yanıt veriyorsunuz
common_voice_tr_21325140.wav,119852,bazı analistler iyimser görüşte
common_voice_tr_21324888.wav,125996,birbiri ardına istifa ettiler
common_voice_tr_21325136.wav,134444,yetkili bütün görevlerinden azledildi
common_voice_tr_21325143.wav,153644,bunların otuz iki milyonu slovenya üzerinden geldi
common_voice_tr_21325153.wav,114476,ancak istisnalar da yok değil
common_voice_tr_21325151.wav,185900,buna karşın arnavutluk'ta asgari ücret yüz kırk iki avro
common_voice_tr_21325164.wav,100652,miloja da buna katılıyor
common_voice_tr_21325203.wav,115244,mesele türkiye'de oldukça hassas bir sorun
common_voice_tr_21325174.wav,109100,program nisan ayında başlayacak
common_voice_tr_21325176.wav,116012,kosova şubat ayında bağımsızlık ilan etti
common_voice_tr_21325205.wav,125996,hastalık dört yüz otuz bin hastada ileri seviyede
common_voice_tr_17373101.wav,148268,fakat bu durum kısa bir süre sonra değişecek
common_voice_tr_17373087.wav,145964,bu yönde bazı önemli adımlar atıldı
common_voice_tr_17373103.wav,122924,festival iki yıl içinde tekrarlanacak
common_voice_tr_17373100.wav,117548,blöf yapmıyoruz
common_voice_tr_17373105.wav,75308,bunlar ilk adımlar
common_voice_tr_17384241.wav,107564,sadece kaybedenler var
common_voice_tr_17384226.wav,144428,para hükümetin yedek fonlarından sağlanacak
common_voice_tr_17384240.wav,126764,ancak celiç bu iddiaları reddetti
common_voice_tr_17384264.wav,119084,kosova'da çok az bir otoritesi kaldı
common_voice_tr_17384309.wav,126764,son on yıldır süren savaşı kazandı
common_voice_tr_17384312.wav,96044,ayrıntılara girmek istemiyorum
common_voice_tr_17384313.wav,140588,bu ikili halen kacak durumda
common_voice_tr_17384310.wav,122924,pambuccian girişimini savundu
common_voice_tr_17400107.wav,119084,podujevo tek örnek değil
common_voice_tr_17400092.wav,98348,polis varlığı barizdi
