sentence	sentence_id	locale	reason
SI bu kararıyla iddiayı kaybetmiş göründü.	d2487593f36f391a5acdcc9b3a35bc076634d4ac57bb9fc204dcc59c143d938b	tr	grammar-or-spelling
SI bu kararıyla iddiayı kaybetmiş göründü.	d2487593f36f391a5acdcc9b3a35bc076634d4ac57bb9fc204dcc59c143d938b	tr	difficult-pronounce
Ancak gerçek oran kuskusuz daha yüksek.	c3b475bcff0257f14fafdac16c3da009020eb360466313cfd92e94d864c053aa	tr	grammar-or-spelling
Bölgede yenilenen işbirliği çözüme katkıda bulunaabilir mi?	1c5acf73c4a9b45327fa6a8651a91768249bd8b1f567a75ec371f77f71d7af04	tr	grammar-or-spelling
Mahhemenin altı ay sürmesi bekleniyor.	15ed9f716915a81cc2033d925ddae80bf99f87c796db659a44fb93d26d4caa54	tr	grammar-or-spelling
Bölgede yenilenen işbirliği çözüme katkıda bulunaabilir mi?	1c5acf73c4a9b45327fa6a8651a91768249bd8b1f567a75ec371f77f71d7af04	tr	grammar-or-spelling
Fakat Geoana kendinden emin görünüyor.	30715e633428b3cc12b1943ca9939345f019a54ca48ef3e42c54003fd6b2cf22	tr	difficult-pronounce
Korg .	56d1611eefa6edb35b117dbcae0847297789f3e3ea132dcb50265cc96a6e3450	tr	different-language
Fakat bu kurumda görev savcılar bulmak zor.	5911aba3b09d55d600510464d391e1090cd5d9577e9920cc012dca4660908463	tr	grammar-or-spelling
Nuremberg, Frankenstadion.	9efc84f9f6e50f42caf1307b718033729f7b7e214ac4554eb00cba8f1a1d7d4d	tr	different-language
Pensioners also lambasted the measures.	4218e5bfe721cc72d19566d30d41db27843d827d90f52d75752daffda59c160e	tr	different-language
Seçimler on dört Nisan Çarşamba günü yapılacak.	8caec421ad4611ca9b8e1c8efa5d79afe00ae686d28f0e24f2dedbcc016bd6e7	tr	offensive-language
Seçimler on dört Nisan Çarşamba günü yapılacak.	8caec421ad4611ca9b8e1c8efa5d79afe00ae686d28f0e24f2dedbcc016bd6e7	tr	different-language
Seçimler on dört Nisan Çarşamba günü yapılacak.	8caec421ad4611ca9b8e1c8efa5d79afe00ae686d28f0e24f2dedbcc016bd6e7	tr	grammar-or-spelling
Bulgaristan listede otuz üç. sırada yer aldı.	82b7da8b50cfb17bb6608f3e748bf1dfc302a23b5b222899ab31463f63222959	tr	grammar-or-spelling
Pek şimdi ne olacak?	8f86472d484c0ed9b6cac4818cbff8e9b5c6daa4a6adf57f69ece05f75abfef6	tr	grammar-or-spelling
Ülkede topla altı bin üç yüz bina sular altında kaldı.	7e1aef8533c0cef51f0f44233348dac9327adcf83a785f221d0d361b6c91e073	tr	grammar-or-spelling
Pensioners also lambasted the measures.	4218e5bfe721cc72d19566d30d41db27843d827d90f52d75752daffda59c160e	tr	different-language
Stamatis Kraounakis.	98b9b06df6f164ee7d27389549d03ce3fa2103d47434b5efcb13f14a48e7c802	tr	different-language
Akşama doğru kuzu hazır hale gelir.	ed6a1b386ee66831d5e58565d78538c4e035f6879b79a8c442a83b8ffbd8f9be	tr	difficult-pronounce
Bizim politikamız budur.	d39f4eee61b73df8daab2de4f4a95043b03875d7c2090c42cb81932552ccf01d	tr	difficult-pronounce
"Etkinlik yedi Haziran'da sona erecek."	fec23f35ac1b53ae7ef151604fe9f8d5e1bd902140543e132fb478a235ca05b5	tr	difficult-pronounce
Daha iyi bir hayat düşünülemezdi.	bc39e5788bf61561ed7d5c17e6b9d89a13a4555ed6708d492e3f4d5d7b9b823e	tr	different-language
Daha iyi bir hayat düşünülemezdi.	bc39e5788bf61561ed7d5c17e6b9d89a13a4555ed6708d492e3f4d5d7b9b823e	tr	difficult-pronounce
Avrupa Komisyonu konuyu incelediğini söyledi.	e89e6f59379b25b25540a0305e28fced9859ad854b2c43103b1a81e597e72e23	tr	offensive-language
Güçlü patlama kentin büyük bölümünden işitildi.	cfed64a5f6e947e1b5f26c6710e122fdb502433fff4ccbcae8e8196ca09c8c19	tr	grammar-or-spelling
Paylaşma ve yoksullara yardım etme zamanıdır.	e7cf24523f5257362b475d660e61a05f75e6a034db1a8e6f819c36ecff302106	tr	offensive-language
Paylaşma ve yoksullara yardım etme zamanıdır.	e7cf24523f5257362b475d660e61a05f75e6a034db1a8e6f819c36ecff302106	tr	grammar-or-spelling
Paylaşma ve yoksullara yardım etme zamanıdır.	e7cf24523f5257362b475d660e61a05f75e6a034db1a8e6f819c36ecff302106	tr	different-language
Ancak, bu olumlu durum kısa sürede tersine dondu.	c6f4a20d9b494243120c7a07345690ff8592c3bf2f17a5e2928bee1890c89d97	tr	grammar-or-spelling
