wav_filename,wav_filesize,transcript
common_voice_tr_18349970.wav,261164,neden on yıldan uzun bir süre bunun olmasına izin verildi
common_voice_tr_18235091.wav,167468,proje yirmi milyar dolara mal olacak
common_voice_tr_18377027.wav,184364,makedonya ise dokuzuncu grupta üçüncü sırada yer alıyor
common_voice_tr_18377285.wav,119084,temel haklara saygı gösteriliyor
common_voice_tr_18377256.wav,155948,ailenin her ferdine birer dilim dağıtılıyor
common_voice_tr_18378418.wav,258860,parti türkiye'deki seksen bir ilin elli sekizini ele geçirdi
common_voice_tr_18377184.wav,148268,yeni meclis ilk oturumunu gerçekleştirdi
common_voice_tr_18378451.wav,155948,bundan cumhurbaşkanı bile etkilendi
common_voice_tr_18379804.wav,126764,herhangi bir şeyi kanıtlamak mümkün mü
common_voice_tr_18379930.wav,238124,bu ürün tanıtımlarında iddia edilen etkileri yaratıyor mu yoksa bir aldatmacadan mı ibaret
common_voice_tr_18379830.wav,130604,futbol etnik bölünmeleri aşabilir mi
common_voice_tr_18379946.wav,152108,sizce bu sorun yakın bir gelecekte çözüme kavuşabilir mi
common_voice_tr_18393336.wav,125228,doğrusu benim için hoş bir sürpriz oldu
common_voice_tr_18393345.wav,125228,bu şekilde bir aşırı görüş diğerini besliyor
common_voice_tr_18380000.wav,313388,sırbistan'daki bilimsel ilerleme ve başarılara ilişkin değerlendirmeniz ne yönde
common_voice_tr_18393372.wav,215084,asgari fiyat altı milyon avro olarak belirlendi
common_voice_tr_18393394.wav,145964,bunu nasıl değerlendiriyorsunuz
common_voice_tr_18393449.wav,99884,ara sıra iş buluyorum
common_voice_tr_18395539.wav,111404,bugün artık tüm siyaset küresel
common_voice_tr_18404740.wav,114476,sürekli bir korku içinde yaşıyoruz
common_voice_tr_18393451.wav,161324,b doksan iki blogcuları açıklama arıyorlar
common_voice_tr_18393448.wav,180524,elektriğe bu ay yüzde altı virgül yedi oranında zam yapıldı
common_voice_tr_18413655.wav,142124,soruşturma geçen yıl başlatılmıştı
common_voice_tr_18407437.wav,140588,elde edilen bilgiler halkı şok etti
common_voice_tr_18413663.wav,102188,kendimi zulme uğramış gibi hissettim
common_voice_tr_18413652.wav,274988,bence bu olasılıklar arasında yer almıyor
common_voice_tr_18413658.wav,171308,kısır döngüleri ve az gelişmişlik tuzaklarını kırmak neden bu kadar zor
common_voice_tr_18407440.wav,148268,miro on oy alarak adaylığı kazandı
common_voice_tr_18413669.wav,98348,kredi yirmi yıl vadeli olacak
common_voice_tr_18413689.wav,188204,tam olarak itiraz ettiğini noktalar neler sizce yasanın olumlu yönleri de var mı
common_voice_tr_18413690.wav,130604,pahor sonuçtan duyduğu memnuniyeti gizlemedi
common_voice_tr_18413695.wav,115244,ama yenilmedik diz çökmedik ve ezilmedik
common_voice_tr_18413687.wav,94508,fakat yine de bu işe bir şans vermiş
common_voice_tr_18413700.wav,113708,bu ülkede hiç kimse o çağa dönmek istemiyor
common_voice_tr_18413711.wav,117548,aramalardan şu ana kadar bir sonuç alınamadı
common_voice_tr_18418353.wav,119084,ziyaret arnon'un ülkeye ilk gelişi oldu
common_voice_tr_18418372.wav,126764,bu yüzden bu ülkeler birlikte sıralanıyor
common_voice_tr_18429715.wav,178220,bazı adaylar tanınmış küresel şirketlerden geldi
common_voice_tr_18418368.wav,163628,peki bu durumda kosova'nın ekonomisini düzeltme ihtimali nedir
common_voice_tr_18434319.wav,90668,polis saldırganları arıyor
common_voice_tr_18434309.wav,113708,bu kıta büyük özverilerin bir ürünüdür
common_voice_tr_18434331.wav,134444,veriler iki bin sekiz yılının ilk üç ayını kapsıyor
common_voice_tr_18429716.wav,166700,katılım yüzde altmış iki virgül sekiz oranından gerçekleşti
common_voice_tr_18434342.wav,125996,almanya dışişleri bakanı ankara'yı ziyaret etti
common_voice_tr_18434363.wav,138284,seçimlerden sonraki duruma ilişkin bilgileriniz ne yönde
common_voice_tr_18439790.wav,115244,bu arada bahisler de yükseliyor
common_voice_tr_18439811.wav,109868,fakat sadece aileler değil
common_voice_tr_18439821.wav,142124,bu galeri balkanlar'da türünün ilk örneği
common_voice_tr_18439814.wav,130604,toplam yatırım yirmi milyon avroyu buldu
common_voice_tr_18439824.wav,152108,projenin iki bin on iki yılında tamamlanması düşünülüyor
common_voice_tr_18439851.wav,111404,yasaya karşı oy verilmedi
common_voice_tr_18439863.wav,217388,sırbistan kosova tarafından verilen araç plakalarını ve evrakları tanıyacak mı
common_voice_tr_18439869.wav,134444,gruevski pek çok vaatte bulunuyor
common_voice_tr_18439853.wav,171308,bu yılki dalış ekibinde vandermeulen de yer aldı
common_voice_tr_18439877.wav,140588,bulgaristan iki boru hattı projesinde yer alıyor
common_voice_tr_18439866.wav,103724,ama her zaman değil
common_voice_tr_18439881.wav,109868,fuar pazar günü sona eriyor
common_voice_tr_18439882.wav,188204,kitle iletişim araçlarının çoğalması kaliteyi de beraberinde getiriyor mu
common_voice_tr_18439901.wav,92204,sahiden öyle mi
common_voice_tr_18439880.wav,148268,hiçbir siyasi durum hakkında yorumumuz yoktur
common_voice_tr_18439878.wav,145964,ancak bölge bazı ciddi sorunlarla hala uğraşıyor
