wav_filename,wav_filesize,transcript
common_voice_tr_21324886.wav,167468,neden on yıldan uzun bir süre bunun olmasına izin verildi
common_voice_tr_21324884.wav,121388,peki bu siyasi irade mevcut mu
common_voice_tr_21324881.wav,122924,bu şüphelere ne yanıt veriyorsunuz
common_voice_tr_21324887.wav,149804,sergi üç hafta süreyle açık kalacak
common_voice_tr_21325140.wav,119852,bazı analistler iyimser görüşte
common_voice_tr_21325136.wav,134444,yetkili bütün görevlerinden azledildi
common_voice_tr_21324888.wav,125996,birbiri ardına istifa ettiler
common_voice_tr_21324893.wav,160556,kosova'da çocuklara yönelik televizyon programları nasıl geliştirilebilir
common_voice_tr_21325153.wav,114476,ancak istisnalar da yok değil
common_voice_tr_21325143.wav,153644,bunların otuz iki milyonu slovenya üzerinden geldi
common_voice_tr_21325151.wav,185900,buna karşın arnavutluk'ta asgari ücret yüz kırk iki avro
common_voice_tr_21325174.wav,109100,program nisan ayında başlayacak
common_voice_tr_21325176.wav,116012,kosova şubat ayında bağımsızlık ilan etti
common_voice_tr_21325164.wav,100652,miloja da buna katılıyor
common_voice_tr_21325203.wav,115244,mesele türkiye'de oldukça hassas bir sorun
common_voice_tr_21325205.wav,125996,hastalık dört yüz otuz bin hastada ileri seviyede
common_voice_tr_17373087.wav,145964,bu yönde bazı önemli adımlar atıldı
common_voice_tr_17373100.wav,117548,blöf yapmıyoruz
common_voice_tr_17373103.wav,122924,festival iki yıl içinde tekrarlanacak
common_voice_tr_17384226.wav,144428,para hükümetin yedek fonlarından sağlanacak
common_voice_tr_17373105.wav,75308,bunlar ilk adımlar
common_voice_tr_17373101.wav,148268,fakat bu durum kısa bir süre sonra değişecek
common_voice_tr_17384240.wav,126764,ancak celiç bu iddiaları reddetti
common_voice_tr_17384264.wav,119084,kosova'da çok az bir otoritesi kaldı
common_voice_tr_17384241.wav,107564,sadece kaybedenler var
common_voice_tr_17384309.wav,126764,son on yıldır süren savaşı kazandı
common_voice_tr_17384312.wav,96044,ayrıntılara girmek istemiyorum
common_voice_tr_17384313.wav,140588,bu ikili halen kacak durumda
common_voice_tr_17384310.wav,122924,pambuccian girişimini savundu
common_voice_tr_17400092.wav,98348,polis varlığı barizdi
common_voice_tr_17400104.wav,113708,şimdilik anlaşmaya varmak için çalışacağız
common_voice_tr_17400107.wav,119084,podujevo tek örnek değil
common_voice_tr_17400105.wav,113708,ancak habere belgrad'daki herkes sevinmedi
common_voice_tr_17400106.wav,121388,şampiyona önümüzdeki yıl zagreb'de yapılacak
common_voice_tr_17421396.wav,149804,etkinlikte toplam altmış dört okul yarıştı
common_voice_tr_17637478.wav,122924,onların arzularını dikkate almak gerekir
common_voice_tr_17421401.wav,129068,port elizabeth'e gittik
common_voice_tr_17637480.wav,144428,eleftheriou yetmiş beş üzerinden yetmiş üç puan topladı
common_voice_tr_17637477.wav,117548,ülkenin şu anki nüfusu yetmiş iki milyon
common_voice_tr_17637512.wav,134444,anlaşmanın değeri bir virgül altı milyar dolar
common_voice_tr_17637504.wav,138284,sc cumhurbaşkanlığı daha çok sembolik bir mevki
common_voice_tr_17637503.wav,134444,ford projeye bir virgül iki milyar avro yatırım yapacak
common_voice_tr_17637506.wav,148268,sizin de ilerde birgün teknik direktör olma planlarınız var mı
common_voice_tr_17637513.wav,130604,santralin inşası iki bin on iki yılı sonunda tamamlanacak
common_voice_tr_17637515.wav,103724,bizde ise halen böyle bir merkez yok
common_voice_tr_17637518.wav,92204,bu tavırlar spora da yansıyor
common_voice_tr_17637538.wav,148268,yeni sistem iki bin yedi başlarında faaliyete geçecek
common_voice_tr_17637537.wav,119084,pliva'nın çok büyük zarara uğraması bekleniyor
common_voice_tr_17637523.wav,106028,ülke bu sektörde köklü bir geleneğe sahip
common_voice_tr_17637541.wav,142124,ancak zanlı savaş suçu işlediğini reddetti
common_voice_tr_17637549.wav,99884,bunlar iyi işlemesi gereken ufak çarklar
common_voice_tr_17637550.wav,69164,kosova başka bir şey
common_voice_tr_17637563.wav,122924,kriterleri yerine getirmek için neler yaptınız
common_voice_tr_17637565.wav,134444,nikoliç cumhurbaşkanının istifasına şaşırmamış
common_voice_tr_17637566.wav,121388,bugün pobjeda'nın üretimi oldukça zayıf
common_voice_tr_17637697.wav,115244,duruşmalar bir aralık'ta başlayacak
common_voice_tr_17637548.wav,84524,bu durumu neye bağlıyorsunuz
common_voice_tr_17637700.wav,99884,tiran'da kaldırımda uyuyan evsiz çocuklar
common_voice_tr_17637698.wav,103724,bu arada hükümet de önleyici tedbirler alıyor
common_voice_tr_17637699.wav,106028,ancak bazı sektörler bundan zarar görebilir
common_voice_tr_17637707.wav,109868,filmin tiran'daki galası bu ay gerçekleşecek
common_voice_tr_17637708.wav,205868,balkanlar'da düşük yoğunluklu fakat dolaylı olarak çok büyük sonuçlar doğuran çatışmalar mı yaşandı
common_voice_tr_18169088.wav,117548,olayın failleri hala yakalanamadı
common_voice_tr_18169092.wav,142892,patlamanın on km uzaktan işitildiği bildirildi
common_voice_tr_18169095.wav,119084,belki bu kez onların zamanı gelmiştir
common_voice_tr_18169089.wav,89900,lükse yer kalmıyor
common_voice_tr_18169098.wav,109868,projenin sonuçları nisan ayında yayınlandı
common_voice_tr_18169118.wav,101420,çok sayıda işçi işten çıkarıldı
common_voice_tr_18169121.wav,99116,batı balkanlar nereye doğru gidiyor
common_voice_tr_18169115.wav,107564,english görevi bu ay devralacak
common_voice_tr_18169123.wav,96812,rakamlar kaynağa göre değişiyor
common_voice_tr_18169114.wav,97580,fakat sonuçlar tatsızdı
common_voice_tr_18169131.wav,106028,bu süreçle ilgili fikriniz nedir
common_voice_tr_18169124.wav,88364,kendime yalan söylemem
common_voice_tr_18169096.wav,115244,fiyatın altmış altı milyon avro olduğu bildirildi
common_voice_tr_18169132.wav,107564,olayla ilgili iki şüpheli tutuklandı
common_voice_tr_18169135.wav,114476,güzel bir elyazısıyla bir kitap yazdım
common_voice_tr_18169137.wav,123692,herkes gana'nın kupayı kazanmasını hayal ediyor
common_voice_tr_18169141.wav,89900,kredi yirmi yıl vadeli olacak
common_voice_tr_18169136.wav,117548,yunanistan'da hayat artık çok zorlaşmıştı
common_voice_tr_18169143.wav,130604,güzel alternatif hedefler aramadığını belirtti
common_voice_tr_20170757.wav,118316,ap milletvekilleri beş yılda bir seçiliyor
common_voice_tr_20170733.wav,139052,şimdi ankara yeniden denemeye hazır
common_voice_tr_18169144.wav,96812,üstelik çok stresli
common_voice_tr_20170731.wav,122156,karadağ'da emlak büyük bir pazar
common_voice_tr_20170756.wav,116012,herşeyi peşin nakit ödedim
common_voice_tr_20170763.wav,149804,fonların iki bin altıdan önce ödenmesi gerekiyor
common_voice_tr_20170734.wav,140588,hükümet ayrıca bir dizi skandal da atlattı
common_voice_tr_20170767.wav,126764,geri kalan iki oyu bulmak zorundalar
common_voice_tr_20172400.wav,152108,bina cepheleri rötuşlanıp ağaçlar dikiliyor
common_voice_tr_20172399.wav,125228,ancak bu hedefi tutturmak biraz zor oldu
common_voice_tr_20172394.wav,166700,kanada dışişleri bakanı zagreb'i ziyaret etti
